Abbotswood | Potentilla fruticosa 'Abbotswood' | Shrub | Potentilla
DeGroot's Spire | Thuja occidentalis 'DeGroot's Spire' | Conifer | Arborvitae
Delaware Valley White | Rhododendron 'Delaware Valley White' | Shrub | Azaleas
Delft Blue | Hyacinthus 'Delft Blue' | Bulb | Hyacinth
Delphinium | Delphinium | Perennial | Delphinium
Denver Daisy | Rudbeckia hirta 'Denver Daisy' | Perennial | Black-Eyed Susan
Desdemona | Rosa 'Auskindling' | Rose | English (David Austin) Roses
Deutschland | Astilbe japonica 'Deutschland' | Perennial | Astilbe
Diabolo | Physocarpus opulifolius 'Monlo' | Shrub | Ninebark
Diana | Hibiscus syriacus 'Diana' | Shrub | Rose of Sharon
Diane | Hamamelis × intermedia 'Diane' | Shrub | Witch Hazel
Dianthus | Dianthus | Perennial | Dianthus
Dill | Anethum graveolens | Herb | 
Do Tell | Paeonia 'Do Tell' | Perennial | Peonies
Doctor Ruppel | Clematis 'Doctor Ruppel' | Climber | Clematis
Don Juan | Rosa 'Don Juan' | Rose | Climbing Roses
Dorothy Perkins Rose | Rosa 'Dorothy Perkins' | Rose | 
Double Click Rose | Cosmos bipinnatus 'Double Click Rose' | Annual | Cosmos
Double Delight | Rosa 'Double Delight' | Rose | Hybrid Tea & Grandiflora Roses
Double Play Big Bang | Spiraea 'Double Play Big Bang' | Shrub | Spirea
Double Play Candy Corn | Spiraea 'Double Play Candy Corn' | Shrub | Spirea
Double Rose Impatiens | Impatiens 'Rockapulco Rose' | Annual | Impatiens
Doublefile | Viburnum plicatum 'Mariesii' | Shrub | Viburnum
Douglas Fir | Pseudotsuga menziesii | Conifer | 
Dragon Wing Pink | Begonia 'Dragon Wing Pink' | Annual | Begonia
Dragon Wing Red | Begonia 'Dragon Wing Red' | Annual | Begonia
Dragon's Breath | Celosia 'Dragon's Breath' | Annual | Celosia
Dreadlocks | Amaranthus caudatus 'Dreadlocks' | Annual | Amaranth
Drift Rose | Rosa 'Meijocos' | Rose | Shrub & Landscape Roses
Drummond's Pink | Phlox subulata 'Drummond's Pink' | Perennial | Creeping Phlox
Drumstick Allium | Allium sphaerocephalon | Bulb | Allium
Dublin Bay Rose | Rosa 'Dublin Bay' | Rose | 
Duchess of Cornwall Rose | Rosa 'Duchess of Cornwall' | Rose | 
Duchesse de Nemours | Paeonia 'Duchesse de Nemours' | Perennial | Peonies
Duchesse de Verneuil (Moss Rose) | Rosa 'Duchesse de Verneuil' | Rose | 
Durban | Canna 'Durban' | Bulb | Canna Lily
Dusty Miller | Jacobaea maritima | Annual | 
Dutch Chocolate | Baptisia 'Dutch Chocolate' | Perennial | False Indigo
Dutch Iris | Iris × hollandica | Bulb | Irises
Dutch Master | Narcissus 'Dutch Master' | Bulb | Daffodils
Dutch Woodbine | Lonicera periclymenum 'Belgica' | Climber | Honeysuckle
Dwarf Alberta Spruce | Picea glauca 'Conica' | Conifer | Spruce
Dwarf Pampas (Pumila) | Cortaderia selloana 'Pumila' | Grass | Pampas Grass
Dwarf White Pine | Pinus strobus 'Nana' | Conifer | Pine
Dynamite | Lagerstroemia 'Dynamite' | Shrub | Crape Myrtle
Early Amethyst | Callicarpa dichotoma 'Early Amethyst' | Shrub | Beautyberry
Early Bird | Nepeta 'Early Bird' | Perennial | Catmint
Early Squill | Scilla mischtschenkoana | Bulb | Scilla
Early Sunrise | Coreopsis grandiflora 'Early Sunrise' | Perennial | Coreopsis
East Friesland | Salvia nemorosa 'Ostfriesland' | Perennial | Salvia
Easter Lily | Lilium longiflorum | Bulb | Lilies
Eastern Hemlock | Tsuga canadensis | Conifer | Hemlock
Eastern Red Columbine | Aquilegia canadensis | Perennial | Columbine
Eastern Redbud | Cercis canadensis | Tree | Redbud
Eastern White Pine | Pinus strobus | Conifer | Pine
Ebb Tide Rose | Rosa 'Ebb Tide' | Rose | 
Echeveria | Echeveria | Perennial | 
Edelweiss | Lavandula × intermedia 'Edelweiss' | Herb | Lavender
Eden | Rosa 'Meiviolin' | Rose | Climbing Roses
El Desperado | Hemerocallis 'El Desperado' | Perennial | Daylilies
Eldorado | Calamagrostis × acutiflora 'Eldorado' | Grass | Feather Reed Grass
Elephant Ear | Colocasia | Bulb | Elephant Ear
Emerald Blue | Phlox subulata 'Emerald Blue' | Perennial | Creeping Phlox
Emerald Green | Thuja occidentalis 'Smaragd' | Conifer | Arborvitae
Emerald Pink | Phlox subulata 'Emerald Pink' | Perennial | Creeping Phlox
Emerald Tassels | Amaranthus caudatus 'Emerald Tassels' | Annual | Amaranth
Emily Brontë | Rosa 'Ausearnshaw' | Rose | English (David Austin) Roses
Emily McKenzie | Crocosmia 'Emily McKenzie' | Bulb | Crocosmia
Emperor I | Acer palmatum 'Emperor I' | Tree | Japanese Maple
Empire Blue | Buddleia davidii 'Empire Blue' | Shrub | Butterfly Bush
Empress of India | Tropaeolum majus 'Empress of India' | Annual | Nasturtium
Empress Wu | Hosta 'Empress Wu' | Perennial | Hostas
Encore Autumn Amethyst | Rhododendron 'Encore Autumn Amethyst' | Shrub | Azaleas
EnduraScape Dark Purple | Verbena 'EnduraScape Dark Purple' | Annual | Verbena
English Boxwood | Buxus sempervirens 'Suffruticosa' | Shrub | Boxwood
English Daisy | Bellis perennis | Perennial | 
English Roseum | Rhododendron 'English Roseum' | Shrub | Rhododendrons
Envy | Zinnia elegans 'Envy' | Annual | Zinnias
Ernest Markham | Clematis 'Ernest Markham' | Climber | Clematis
Escargot Rex Begonia | Begonia rex 'Escargot' | Annual | Rex Begonia
European Snowball | Viburnum opulus 'Roseum' | Shrub | Viburnum
Falling Waters | Taxodium distichum 'Falling Waters' | Conifer | Bald Cypress
False Indigo | Baptisia | Perennial | False Indigo
False Sunflower | Heliopsis | Perennial | 
Fan Flower | Scaevola aemula | Annual | Fan Flower
Fanal | Astilbe × arendsii 'Fanal' | Perennial | Astilbe
Fat Albert | Picea pungens 'Fat Albert' | Conifer | Spruce
Feather Reed Grass | Calamagrostis × acutiflora | Grass | Feather Reed Grass
February Gold | Narcissus 'February Gold' | Bulb | Daffodils
Fenway Park | Parthenocissus tricuspidata 'Fenway Park' | Climber | Boston Ivy
Festiva Maxima | Paeonia 'Festiva Maxima' | Perennial | Peonies
Fiesta | Forsythia × intermedia 'Fiesta' | Shrub | Forsythia
Fiesta | Hibiscus rosa-sinensis 'Fiesta' | Shrub | Tropical Hibiscus
Fire and Ice | Hosta 'Fire and Ice' | Perennial | Hostas
Fire Chief | Thuja occidentalis 'Fire Chief' | Conifer | Arborvitae
Fireball | Rhododendron 'Fireball' | Shrub | Azaleas
Fireglow | Acer palmatum 'Fireglow' | Tree | Japanese Maple
Firewitch | Dianthus gratianopolitanus 'Firewitch' | Perennial | Dianthus
Fireworks Rex Begonia | Begonia rex 'Fireworks' | Annual | Rex Begonia
First Love | Veronica spicata 'First Love' | Perennial | Veronica
Flame Grass | Miscanthus sinensis var. purpurascens | Grass | Maiden Grass
Flame Thrower | Cercis canadensis 'Flame Thrower' | Tree | Redbud
Flaming Parrot | Tulipa 'Flaming Parrot' | Bulb | Tulips
Flamingo Feather | Celosia spicata 'Flamingo Feather' | Annual | Celosia
Flava (Yellow Trumpet) | Campsis radicans f. flava | Climber | Trumpet Vine
Fleurel | Dahlia 'Fleurel' | Bulb | Dahlias
Flore Pleno | Galanthus nivalis 'Flore Pleno' | Bulb | Snowdrop
Floribunda Rose | Rosa | Rose | Floribunda Roses
FloriGlory Cuphea | Cuphea hybrid 'FloriGlory' | Annual | Cuphea
Flower Carpet Rose | Rosa 'Noatraum' | Rose | Shrub & Landscape Roses
Flower Record | Crocus vernus 'Flower Record' | Bulb | Crocus
Flowering Cherry | Prunus serrulata | Tree | Flowering Cherry
Flowering Crabapple | Malus | Tree | Crabapple
Flowering Dogwood | Cornus florida | Tree | Dogwood
Flowering Tobacco | Nicotiana | Annual | Flowering Tobacco
Foam Flower | Tiarella | Perennial | 
Foamy Bells | Heucherella | Perennial | 
Forest Pansy | Cercis canadensis 'Forest Pansy' | Tree | Redbud
Forever Purple | Heuchera 'Forever Purple' | Perennial | Coral Bells
Forever Red | Heuchera 'Forever Red' | Perennial | Coral Bells
Formosa | Rhododendron 'Formosa' | Shrub | Azaleas
Forsythia | Forsythia | Shrub | Forsythia
Fountain Grass | Pennisetum alopecuroides | Grass | Fountain Grass
Four O'Clock | Mirabilis jalapa | Annual | Four O'Clock
Foxglove | Digitalis | Perennial | Foxglove
Francee | Hosta 'Francee' | Perennial | Hostas
Frances Williams | Hosta 'Frances Williams' | Perennial | Hostas
Frans Hals | Hemerocallis 'Frans Hals' | Perennial | Daylilies
Freesia | Freesia | Bulb | Freesia
French Lavender | Lavandula dentata | Herb | Lavender
French Marigold | Tagetes patula | Annual | Marigolds
Fresh Look Orange | Celosia plumosa 'Fresh Look Orange' | Annual | Celosia
Fresh Look Red | Celosia plumosa 'Fresh Look Red' | Annual | Celosia
Fresh Look Yellow | Celosia plumosa 'Fresh Look Yellow' | Annual | Celosia
Frostproof | Gardenia jasminoides 'Frostproof' | Shrub | Gardenia
Frosty Fire | Dianthus 'Frosty Fire' | Perennial | Dianthus
Frosty Morn | Hylotelephium 'Frosty Morn' | Perennial | Sedum
Fuchsia | Fuchsia | Annual | Fuchsia
Fuji Pink | Platycodon grandiflorus 'Fuji Pink' | Perennial | Balloon Flower
Fuji White | Platycodon grandiflorus 'Fuji White' | Perennial | Balloon Flower
Galahad | Delphinium 'Galahad' | Perennial | Delphinium
Gallery Art Deco | Dahlia 'Gallery Art Deco' | Bulb | Dahlias
Gallery Blue | Lupinus 'Gallery Blue' | Perennial | Lupine
Gallery Red | Lupinus 'Gallery Red' | Perennial | Lupine
Gallery White | Lupinus 'Gallery White' | Perennial | Lupine
Garden Mum | Chrysanthemum | Perennial | Chrysanthemums
Garden Phlox | Phlox paniculata | Perennial | Garden Phlox
Gardenia | Paeonia 'Gardenia' | Perennial | Peonies
Gardenia | Gardenia jasminoides | Shrub | Gardenia
Gardenview Scarlet | Monarda 'Gardenview Scarlet' | Perennial | Bee Balm
Gartenmeister | Fuchsia 'Gartenmeister Bonstedt' | Annual | Fuchsia
Gaura | Oenothera lindheimeri | Perennial | 
Gazania | Gazania | Annual | Gazania
Genie Magnolia | Magnolia 'Genie' | Tree | Magnolia
Gentle Hermione | Rosa 'Ausrumba' | Rose | English (David Austin) Roses
Gentsch White | Tsuga canadensis 'Gentsch White' | Conifer | Hemlock
George Davison | Crocosmia 'George Davison' | Bulb | Crocosmia
George Tabor | Rhododendron 'George Tabor' | Shrub | Azaleas
Georgia Peach | Heuchera 'Georgia Peach' | Perennial | Coral Bells
Georgia Peach Pie | Dianthus 'Georgia Peach Pie' | Perennial | Dianthus
Geranium | Narcissus 'Geranium' | Bulb | Daffodils
Geranium (Annual) | Pelargonium | Annual | Geraniums
Gerbera Daisy | Gerbera jamesonii | Annual | Gerbera Daisy
Gertrude Jekyll | Rosa 'Ausbord' | Rose | English (David Austin) Roses
Giant Allium | Allium giganteum | Bulb | Allium
Giant Hyssop 'Ginger' | Agastache 'Ginger' | Perennial | 
Giant Snowdrop | Galanthus elwesii | Bulb | Snowdrop
Giant Sunflower | Helianthus annuus 'Mammoth Russian' | Annual | 
Gibraltar | Rhododendron 'Gibraltar' | Shrub | Azaleas
Giles van Hees | Veronica spicata 'Giles van Hees' | Perennial | Veronica
Ginkgo | Ginkgo biloba | Tree | 
Gipsy Queen | Hyacinthus 'Gipsy Queen' | Bulb | Hyacinth
Gipsy Queen | Clematis 'Gipsy Queen' | Climber | Clematis
Girard's Crimson | Rhododendron 'Girard's Crimson' | Shrub | Azaleas
Gladiator | Allium 'Gladiator' | Bulb | Allium
Gladiolus | Gladiolus | Bulb | Gladiolus
Globe Amaranth | Gomphrena | Annual | Globe Amaranth
Globe Blue Spruce | Picea pungens 'Globosa' | Conifer | Spruce
Globe Thistle | Echinops | Perennial | 
Globeflower | Trollius | Perennial | 
Globemaster | Allium 'Globemaster' | Bulb | Allium
Glory of the Snow | Scilla | Bulb | Glory of the Snow
Goatsbeard | Aruncus dioicus | Perennial | 
Goblin | Gaillardia × grandiflora 'Goblin' | Perennial | Blanket Flower
Going Bananas | Hemerocallis 'Going Bananas' | Perennial | Daylilies
Gold Band Pampas | Cortaderia selloana 'Aureolineata' | Grass | Pampas Grass
Gold Coast Juniper | Juniperus chinensis 'Gold Coast' | Conifer | Juniper
Gold Heart | Lamprocapnos spectabilis 'Gold Heart' | Perennial | Bleeding Heart
Gold Marigold | Tagetes 'Gold' | Annual | Marigolds
Gold Mum | Chrysanthemum 'Gold' | Perennial | Chrysanthemums
Gold Standard | Hosta 'Gold Standard' | Perennial | Hostas
Gold Tide | Forsythia × intermedia 'Gold Tide' | Shrub | Forsythia
Golden Apeldoorn | Tulipa 'Golden Apeldoorn' | Bulb | Tulips
Golden Celebration | Rosa 'Ausgold' | Rose | English (David Austin) Roses
Golden Columbine | Aquilegia chrysantha | Perennial | Columbine
Golden Fragrance | Muscari macrocarpum 'Golden Fragrance' | Bulb | Grape Hyacinth
Golden Garlic | Allium moly | Bulb | Allium
Golden Globe | Thuja occidentalis 'Golden Globe' | Conifer | Arborvitae
Golden Hakone (Aureola) | Hakonechloa macra 'Aureola' | Grass | Japanese Forest Grass
Golden Lights | Rhododendron 'Golden Lights' | Shrub | Azaleas
Golden Lotus | Helleborus × hybridus 'Golden Lotus' | Perennial | Hellebore
Golden Mock Orange | Philadelphus coronarius 'Aureus' | Shrub | Mock Orange
Golden Raindrops | Malus 'Golden Raindrops' | Tree | Crabapple
Golden Spirit | Cotinus coggygria 'Ancot' | Shrub | Smokebush
Golden Toupee | Festuca glauca 'Golden Toupee' | Grass | Blue Fescue
Goldenrod | Solidago | Perennial | 
Goldfinger | Potentilla fruticosa 'Goldfinger' | Shrub | Potentilla
Goldflame | Spiraea japonica 'Goldflame' | Shrub | Spirea
Goldflame Honeysuckle | Lonicera heckrottii 'Goldflame' | Climber | Honeysuckle
Goldilocks | Rudbeckia hirta 'Goldilocks' | Perennial | Black-Eyed Susan
Goldmound | Spiraea japonica 'Goldmound' | Shrub | Spirea
Goldsturm | Rudbeckia fulgida 'Goldsturm' | Perennial | Black-Eyed Susan
Grace | Cotinus 'Grace' | Shrub | Smokebush
Gracillimus | Miscanthus sinensis 'Gracillimus' | Grass | Maiden Grass
Graham Blandy | Buxus sempervirens 'Graham Blandy' | Shrub | Boxwood
Graham Thomas | Rosa 'Ausmas' | Rose | English (David Austin) Roses
Grand Marshall | Monarda 'Grand Marshall' | Perennial | Bee Balm
Grand Maître | Crocus vernus 'Grand Maître' | Bulb | Crocus
Grandpa Ott's | Ipomoea purpurea | Climber | Morning Glory
Grape Hyacinth | Muscari | Bulb | Grape Hyacinth
Gravetye Giant | Leucojum aestivum 'Gravetye Giant' | Bulb | Snowflake
Green Caladium | Caladium | Annual | Caladium
Green Giant | Thuja plicata 'Green Giant' | Conifer | Arborvitae
Green Hellebore | Helleborus × hybridus 'Green' | Perennial | Hellebore
Green Jewel | Echinacea purpurea 'Green Jewel' | Perennial | Coneflowers
Green Mountain | Buxus 'Green Mountain' | Shrub | Boxwood
Green Star | Gladiolus 'Green Star' | Bulb | Gladiolus
Green Velvet | Buxus 'Green Velvet' | Shrub | Boxwood
Grey Owl Juniper | Juniperus virginiana 'Grey Owl' | Conifer | Juniper
Grosso | Lavandula × intermedia 'Grosso' | Herb | Lavender
Guacamole | Hosta 'Guacamole' | Perennial | Hostas
Guinevere | Delphinium 'Guinevere' | Perennial | Delphinium
Gumpo Pink | Rhododendron 'Gumpo Pink' | Shrub | Azaleas
Hagley Hybrid | Clematis 'Hagley Hybrid' | Climber | Clematis
Halcyon | Hosta 'Halcyon' | Perennial | Hostas
Happy Face Yellow | Potentilla fruticosa 'Happy Face Yellow' | Shrub | Potentilla
Happy Returns | Hemerocallis 'Happy Returns' | Perennial | Daylilies
Hardy Geranium | Geranium | Perennial | Hardy Geranium
Hardy Hibiscus | Hibiscus moscheutos | Perennial | Hardy Hibiscus
Harlow Carr | Rosa 'Aushouse' | Rose | English (David Austin) Roses
Hearts of Gold | Cercis canadensis 'Hearts of Gold' | Tree | Redbud
Heavy Metal | Panicum virgatum 'Heavy Metal' | Grass | Switchgrass
Helene | Hibiscus syriacus 'Helene' | Shrub | Rose of Sharon
Hellebore | Helleborus | Perennial | Hellebore
Henna | Coleus 'Henna' | Annual | Coleus
Henryi | Clematis 'Henryi' | Climber | Clematis
Hens and Chicks | Sempervivum | Perennial | 
Heritage | Rosa 'Ausblush' | Rose | English (David Austin) Roses
Hidcote | Lavandula angustifolia 'Hidcote' | Herb | Lavender
Hidcote Pink | Lavandula angustifolia 'Hidcote Pink' | Herb | Lavender
Hino-Crimson | Rhododendron 'Hino-Crimson' | Shrub | Azaleas
Hollandia | Anemone coronaria 'Hollandia' | Bulb | Anemone
Holly Fern | Cyrtomium falcatum | Fern | 
Hollyhock | Alcea rosea | Perennial | Hollyhock
Hollyhock 'Blacknight' | Alcea rosea 'Blacknight' | Perennial | 
Hollyhock 'Chater's Double' | Alcea rosea 'Chater's Double' | Perennial | 
Hollyhock 'Peach' | Alcea rosea 'Peach' | Perennial | 
Holmstrup | Thuja occidentalis 'Holmstrup' | Conifer | Arborvitae
Holy Grail | Hibiscus 'Holy Grail' | Perennial | Hardy Hibiscus
Honeycomb | Buddleia × weyeriana 'Honeycomb' | Shrub | Butterfly Bush
Honeylocust | Gleditsia triacanthos | Tree | 
Honeysuckle | Lonicera | Climber | Honeysuckle
Hoopsii | Picea pungens 'Hoopsii' | Conifer | Spruce
Hopi | Lagerstroemia 'Hopi' | Shrub | Crape Myrtle
Hosta | Hosta | Perennial | Hostas
Hot Biscuits | Amaranthus cruentus 'Hot Biscuits' | Annual | Amaranth
Hot Papaya | Echinacea 'Hot Papaya' | Perennial | Coneflowers
Hula Girl | Hibiscus rosa-sinensis 'Hula Girl' | Shrub | Tropical Hibiscus
Hummingbird | Clethra alnifolia 'Hummingbird' | Shrub | Summersweet
Hyacinth | Hyacinthus orientalis | Bulb | Hyacinth
Hybrid Tea Rose | Rosa | Rose | Hybrid Tea & Grandiflora Roses
Hyperion | Hemerocallis 'Hyperion' | Perennial | Daylilies
Ice Follies | Narcissus 'Ice Follies' | Bulb | Daffodils
Ice Plant | Delosperma | Perennial | 
Iceberg | Rosa 'Korbin' | Rose | Floribunda Roses
Icicle | Veronica spicata 'Icicle' | Perennial | Veronica
Illustris | Colocasia esculenta 'Illustris' | Bulb | Elephant Ear
Impatiens | Impatiens walleriana | Annual | Impatiens
Imperial Blue | Verbena 'Superbena Imperial Blue' | Annual | Verbena
Indian Magic | Malus 'Indian Magic' | Tree | Crabapple
Indian Prince | Calendula officinalis | Annual | Calendula
Indian Summer | Rudbeckia hirta 'Indian Summer' | Perennial | Black-Eyed Susan
Intenz Purple | Celosia spicata 'Intenz' | Annual | Celosia
Ironweed | Vernonia | Perennial | 
Italian Cypress | Cupressus sempervirens | Conifer | Italian Cypress
Italian White | Helianthus annuus 'Italian White' | Annual | Sunflower
Ivory Castle | Eschscholzia californica 'Ivory Castle' | Annual | California Poppy
Ivory Prince | Helleborus 'Ivory Prince' | Perennial | Hellebore
Ivory Princess | Calendula officinalis | Annual | Calendula
Ivy Geranium | Pelargonium peltatum | Annual | Geraniums
Jack Snipe | Narcissus 'Jack Snipe' | Bulb | Daffodils
Jackmanii | Clematis 'Jackmanii' | Climber | Clematis
Jacob Cline | Monarda didyma 'Jacob Cline' | Perennial | Bee Balm
Jacob's Ladder | Polemonium | Perennial | 
James Galway | Rosa 'Auscrystal' | Rose | English (David Austin) Roses
Jan Bos | Hyacinthus 'Jan Bos' | Bulb | Hyacinth
Jane Magnolia | Magnolia 'Jane' | Tree | Magnolia
Japanese Anemone | Anemone hupehensis | Perennial | 
Japanese Forest Grass | Hakonechloa macra | Grass | Japanese Forest Grass
Japanese Maple | Acer palmatum | Tree | Japanese Maple
Japanese Maple 'Miyako' | Acer palmatum 'Miyako' | Tree | 
Japanese Painted Fern | Athyrium niponicum | Fern | 
Jasmine | Jasminum officinale | Climber | Jasmine
Java Red | Weigela florida 'Java Red' | Shrub | Weigela
Jeana | Phlox paniculata 'Jeana' | Perennial | Garden Phlox
Jeanne d'Arc | Crocus vernus 'Jeanne d'Arc' | Bulb | Crocus
Jeddeloh Hemlock | Tsuga canadensis 'Jeddeloh' | Conifer | Hemlock
Jelena | Hamamelis × intermedia 'Jelena' | Shrub | Witch Hazel
Jetfire | Narcissus 'Jetfire' | Bulb | Daffodils
Jethro Tull | Coreopsis 'Jethro Tull' | Perennial | Coreopsis
Joan Senior | Hemerocallis 'Joan Senior' | Perennial | Daylilies
Joe Pye Weed | Eutrochium | Perennial | 
Johnson's Blue | Geranium 'Johnson's Blue' | Perennial | Hardy Geranium
Jowey Winnie | Dahlia 'Jowey Winnie' | Bulb | Dahlias
Jubilee Celebration | Rosa 'Aushunter' | Rose | English (David Austin) Roses
Julia Child | Rosa 'WEKvossutono' | Rose | Floribunda Roses
Juliet | Rosa 'Ausjameson' | Rose | English (David Austin) Roses
June | Hosta 'June' | Perennial | Hostas
Junior Walker | Nepeta 'Junior Walker' | Perennial | Catmint
Juniper | Juniperus | Conifer | Juniper
Kansas | Paeonia 'Kansas' | Perennial | Peonies
Karen | Rhododendron 'Karen' | Shrub | Azaleas
Karl Rosenfield | Paeonia 'Karl Rosenfield' | Perennial | Peonies
Karma Choc | Dahlia 'Karma Choc' | Bulb | Dahlias
Kashmir White | Geranium clarkei 'Kashmir White' | Perennial | Hardy Geranium
Katherine Havemeyer | Syringa vulgaris 'Katherine Havemeyer' | Shrub | Lilac
Kauai Rose | Torenia fournieri 'Kauai Rose' | Annual | Wishbone Flower
Kelvin Floodlight | Dahlia 'Kelvin Floodlight' | Bulb | Dahlias
Kickin' Carmine Red | Symphyotrichum 'Kickin Carmine Red' | Perennial | Aster
King Arthur | Delphinium 'King Arthur' | Perennial | Delphinium
King of Hearts | Dicentra 'King of Hearts' | Perennial | Bleeding Heart
Kismet Raspberry | Echinacea 'Kismet Raspberry' | Perennial | Coneflowers
Kleim's Hardy | Gardenia jasminoides 'Kleim's Hardy' | Shrub | Gardenia
Knock Out Rose | Rosa 'Knock Out' | Rose | Shrub & Landscape Roses
Komachi | Platycodon grandiflorus 'Komachi' | Perennial | Balloon Flower
Kong Rose | Coleus 'Kong Rose' | Annual | Coleus
Kopper King | Hibiscus 'Kopper King' | Perennial | Hardy Hibiscus
Koreanspice | Viburnum carlesii | Shrub | Viburnum
Kousa Dogwood | Cornus kousa | Tree | Dogwood
Kramer's Supreme | Camellia japonica 'Kramer's Supreme' | Shrub | Camellia
Krossa Regal | Hosta 'Krossa Regal' | Perennial | Hostas
Kwanzan Cherry | Prunus serrulata 'Kanzan' | Tree | Flowering Cherry
Labyrinth | Dahlia 'Labyrinth' | Bulb | Dahlias
Lady Baltimore | Hibiscus moscheutos 'Lady Baltimore' | Perennial | Hardy Hibiscus
Lady Banks' Rose | Rosa banksiae | Rose | Climbing Roses
Lady Emma Hamilton | Rosa 'Ausbrother' | Rose | English (David Austin) Roses
Lady Fern | Athyrium filix-femina | Fern | 
Lady Margaret | Passiflora 'Lady Margaret' | Climber | Passionflower
Lady of Shalott | Rosa 'Ausnyson' | Rose | English (David Austin) Roses
Lady's Mantle | Alchemilla mollis | Perennial | 
Lamb's Ear | Stachys byzantina | Perennial | 
Lantana | Lantana camara | Annual | Lantana
Larkspur | Consolida | Annual | Larkspur
Latifolium | Muscari latifolium | Bulb | Grape Hyacinth
Laura | Phlox paniculata 'Laura' | Perennial | Garden Phlox
Lavender | Lavandula | Herb | Lavender
Lavender African Daisy | Osteospermum 'Soprano Lavender' | Annual | African Daisy
Lavender Annual Phlox | Phlox drummondii | Annual | Annual Phlox
Lavender Bacopa | Chaenostoma cordatum | Annual | Bacopa
Lavender Canterbury Bells | Campanula medium | Annual | Canterbury Bells
Lavender Chiffon | Hibiscus syriacus 'Lavender Chiffon' | Shrub | Rose of Sharon
Lavender Geranium | Pelargonium 'Lavender' | Annual | Geraniums
Lavender Gladiolus | Gladiolus | Bulb | Gladiolus
Lavender Globe Amaranth | Gomphrena globosa | Annual | Globe Amaranth
Lavender Impatiens | Impatiens walleriana | Annual | Impatiens
Lavender Larkspur | Consolida ajacis | Annual | Larkspur
Lavender Mum | Chrysanthemum 'Lavender' | Perennial | Chrysanthemums
Lavender Pentas | Pentas lanceolata | Annual | Pentas
Lavender Stock | Matthiola incana | Annual | Stock
Lavender Stream | Lobularia 'Lavender Stream' | Annual | Sweet Alyssum
Lavender Sweet Pea | Lathyrus odoratus | Annual | Sweet Pea
Lavender Tropical Hibiscus | Hibiscus rosa-sinensis | Shrub | Tropical Hibiscus
Lavender Twist | Cercis canadensis 'Covey' | Tree | Redbud
Lavender Verbena | Verbena × hybrida | Annual | Verbena
Lemon African Daisy | Osteospermum 'Lemon Symphony' | Annual | African Daisy
Lemon Balm | Melissa officinalis | Herb | 
Lemon Gem | Tagetes tenuifolia 'Lemon Gem' | Annual | Marigolds
Lemon Queen | Helianthus annuus 'Lemon Queen' | Annual | Sunflower
Lemon Star | Thunbergia alata 'Lemon Star' | Climber | Black-Eyed Susan Vine
Leonard Messel | Magnolia × loebneri 'Leonard Messel' | Tree | Magnolia
Ligularia | Ligularia | Perennial | 
Lilac | Syringa vulgaris | Shrub | Lilac
Lilac Lobelia | Lobelia erinus | Annual | Lobelia
Lilac Wonder | Colchicum 'Lilac Wonder' | Bulb | Autumn Crocus
Lily of the Valley | Convallaria majalis | Perennial | 
Lime Green | Nicotiana alata 'Lime Green' | Annual | Flowering Tobacco
Lime Rickey | Heuchera 'Lime Rickey' | Perennial | Coral Bells
Lime Time | Coleus 'ColorBlaze Lime Time' | Annual | Coleus
Lime Tree | Citrus aurantifolia | Tree | 
Lime Zinger | Xanthosoma 'Lime Zinger' | Bulb | Elephant Ear
Lisianthus | Eustoma | Annual | Lisianthus
Little Bluestem | Schizachyrium scoparium | Grass | Little Bluestem
Little Bunny | Pennisetum alopecuroides 'Little Bunny' | Grass | Fountain Grass
Little Devil | Physocarpus opulifolius 'Donna May' | Shrub | Ninebark
Little Gem Magnolia | Magnolia grandiflora 'Little Gem' | Tree | Magnolia
Little Princess | Spiraea japonica 'Little Princess' | Shrub | Spirea
Little Titch | Nepeta racemosa 'Little Titch' | Perennial | Catmint
Littleleaf Linden | Tilia cordata | Tree | 
Lobelia | Lobelia erinus | Annual | Lobelia
Lord Baltimore | Hibiscus moscheutos 'Lord Baltimore' | Perennial | Hardy Hibiscus
Lord Lieutenant | Anemone coronaria 'Lord Lieutenant' | Bulb | Anemone
Louise Clements Rose | Rosa 'Louise Clements' | Rose | 
Love-Lies-Bleeding | Amaranthus caudatus | Annual | Amaranth
Lucifer | Canna 'Lucifer' | Bulb | Canna Lily
Lucifer | Crocosmia 'Lucifer' | Bulb | Crocosmia
Lucky White | Lantana camara 'Lucky White' | Annual | Lantana
Lucy | Hibiscus syriacus 'Lucy' | Shrub | Rose of Sharon
Ludwig Späth | Syringa vulgaris 'Andenken an Ludwig Späth' | Shrub | Lilac
Luna Pink Swirl | Hibiscus moscheutos 'Luna Pink Swirl' | Perennial | Hardy Hibiscus
Luna White | Hibiscus moscheutos 'Luna White' | Perennial | Hardy Hibiscus
Lungwort | Pulmonaria | Perennial | 
Lupine | Lupinus | Perennial | Lupine
Luscious Citrus | Lantana 'Luscious Citrus Blend' | Annual | Lantana
Lynwood Gold | Forsythia × intermedia 'Lynwood Gold' | Shrub | Forsythia
Madame Anisette Rose | Rosa 'Madame Anisette' | Rose | 
Madame Galen | Campsis × tagliabuana 'Madame Galen' | Climber | Trumpet Vine
