existing_plant,botanical,proposed_aliases,buckets,top_freq,n_aliases
Cherokee Chief,Cornus florida 'Cherokee Chief',cherokee chief dogwood; dogwood tree; red dogwood,alt-common-name; cultivar-trade; plural-format,high,3
Cherokee Princess,Cornus florida 'Cherokee Princess',cherokee princess dogwood; dogwood tree; white dogwood,alt-common-name; cultivar-trade; plural-format,high,3
Cloud Nine,Cornus florida 'Cloud Nine',cloud nine dogwood; dogwood tree; white dogwood,alt-common-name; cultivar-trade; plural-format,high,3
Saucer Magnolia,Magnolia × soulangeana,japanese magnolia; magnolia tree; tulip magnolia,alt-common-name; plural-format,high,3
Southern Magnolia,Magnolia grandiflora,bull bay; evergreen magnolia; magnolia tree,alt-common-name; plural-format,high,3
Flowering Crabapple,Malus,crab apple; crab apple tree; crabapple tree,plural-format,high,3
Prairifire,Malus 'Prairifire',crabapple tree; prairiefire; prairiefire crabapple,misspelling; plural-format,high,3
Weeping Cherry,Prunus subhirtella 'Pendula',cherry tree; higan cherry; weeping cherry tree,alt-common-name; plural-format,high,3
Mount Fuji Cherry,Prunus serrulata 'Shirotae',japanese cherry; japanese flowering cherry; mt fuji cherry,alt-common-name; misspelling,high,3
Ballerina Serviceberry,Amelanchier × grandiflora 'Ballerina',june berry; juneberry; serviceberry tree,alt-common-name; plural-format,high,3
Princess Diana Serviceberry,Amelanchier × grandiflora 'Princess Diana',june berry; juneberry; serviceberry tree,alt-common-name; plural-format,high,3
Regent Serviceberry,Amelanchier alnifolia 'Regent',juneberry; saskatoon; saskatoon berry,alt-common-name,high,3
Tulip Tree,Liriodendron tulipifera,tulip poplar; tuliptree; yellow poplar,alt-common-name; plural-format,high,3
Weeping Willow,Salix babylonica,babylon willow; weeping willow tree; willow tree,alt-common-name; plural-format,high,3
Feather Reed Grass,Calamagrostis × acutiflora,calamgrostis; karl foerster; karl forester,cultivar-trade; misspelling,high,3
Ivy Geranium,Pelargonium peltatum,geraniums; ivy leaf geranium; trailing geranium,alt-common-name; plural-format,high,3
Bearded Iris,Iris germanica,flag iris; german iris; irises,alt-common-name; plural-format,high,3
Moonflower,Ipomoea alba,moon flower; moon vine; moonvine,alt-common-name; plural-format,high,3
Tess of the d'Urbervilles,Rosa 'Ausmove',david austin; tess of the d'urbervilles rose; tess of the durbervilles,brand-series; misspelling; plural-format,high,3
The Poet's Wife,Rosa 'Auswhirl',david austin; the poet's wife rose; the poets wife,brand-series; misspelling; plural-format,high,3
Tranquillity,Rosa 'Ausnoble',david austin; tranquility rose; tranquillity rose,brand-series; misspelling; plural-format,high,3
Pink Portulaca,Portulaca grandiflora,moss rose; moss roses; purslane,alt-common-name,high,3
Red Portulaca,Portulaca grandiflora,moss rose; moss roses; purslane,alt-common-name,high,3
Yellow Portulaca,Portulaca grandiflora,moss rose; moss roses; purslane,alt-common-name,high,3
Pink Strawflower,Xerochrysum bracteatum,helichrysum; straw flower,botanical-genus; plural-format,high,2
Red Strawflower,Xerochrysum bracteatum,helichrysum; straw flower,botanical-genus; plural-format,high,2
White Strawflower,Xerochrysum bracteatum,helichrysum; straw flower,botanical-genus; plural-format,high,2
Apricot Calendula,Calendula officinalis,english marigold; pot marigold,alt-common-name,high,2
Yellow Calendula,Calendula officinalis,english marigold; pot marigold,alt-common-name,high,2
Canterbury Bells,Campanula medium,bellflower; cup and saucer,alt-common-name,high,2
Goldsturm,Rudbeckia fulgida 'Goldsturm',black eyed susan; black eyed susans,alt-common-name; plural-format,high,2
Bergenia,Bergenia,elephant ears; pigsqueak,alt-common-name; plural-format,high,2
Natchez,Philadelphus × virginalis 'Natchez',natchez crape myrtle; natchez crepe myrtle,cultivar-trade; misspelling,high,2
Brilliant Sedum,Hylotelephium spectabile 'Brilliant',showy stonecrop; stonecrop,alt-common-name,high,2
Creeping Sedum,Sedum,sedums; stonecrop,alt-common-name; plural-format,high,2
Lamb's Ear,Stachys byzantina,lamb's ears; lambs ear,plural-format,high,2
Marshall's Delight,Monarda 'Marshall's Delight',bergamot; marshalls delight,alt-common-name; plural-format,high,2
Raspberry Wine,Monarda 'Raspberry Wine',beebalm; bergamot,alt-common-name; plural-format,high,2
Prairie Sun,Rudbeckia hirta 'Prairie Sun',black eyed susan; gloriosa daisy,alt-common-name; plural-format,high,2
Toto Gold,Rudbeckia hirta 'Toto Gold',black eyed susan; gloriosa daisy,alt-common-name; plural-format,high,2
Superbells Pink,Calibrachoa 'Superbells Pink',million bells; mini petunia,alt-common-name; brand-series,high,2
Superbells Red,Calibrachoa 'Superbells Red',million bells; mini petunia,alt-common-name; brand-series,high,2
Encore Autumn Amethyst,Rhododendron 'Encore Autumn Amethyst',encore azalea; encore azaleas,brand-series,high,2
Cheyenne Spirit,Echinacea 'Cheyenne Spirit',echinachea; echinacia,misspelling,high,2
Marinka,Fuchsia 'Marinka',fuschia; fushia,misspelling,high,2
Swingtime,Fuchsia 'Swingtime',fuschia; fushia,misspelling,high,2
Pink Petunia,Petunia 'Pink',petunias; surfinia,brand-series; plural-format,high,2
Statice,Limonium,sea lavender; statis,alt-common-name; misspelling,high,2
Blue Horizon,Ageratum houstonianum 'Blue Horizon',floss flower; flossflower,alt-common-name,high,2
Annual Phlox,Phlox drummondii,flox; texas pride,alt-common-name; misspelling,high,2
Purple Bachelor's Button,Centaurea cyanus,bachelors button; cornflower,alt-common-name; plural-format,high,2
White Bachelor's Button,Centaurea cyanus,bachelors button; cornflower,alt-common-name; plural-format,high,2
Red Impatiens,Impatiens walleriana,busy lizzie; impatients,alt-common-name; misspelling; regional,high,2
Rose Impatiens,Impatiens walleriana,busy lizzie; impatients,alt-common-name; misspelling; regional,high,2
White Impatiens,Impatiens walleriana,busy lizzie; impatients,alt-common-name; misspelling; regional,high,2
Sweet Pea,Lathyrus odoratus,sweet peas; sweetpea,plural-format,high,2
Serena Purple,Angelonia 'Serena Purple',archangel angelonia; summer snapdragon,alt-common-name; brand-series,high,2
Serena Rose,Angelonia 'Serena Rose',serenita; summer snapdragon,alt-common-name; brand-series,high,2
Sweet Potato Vine,Ipomoea batatas,ipomea; ornamental sweet potato,alt-common-name; misspelling,high,2
Lavender African Daisy,Osteospermum 'Soprano Lavender',cape daisy; sunscape daisy,alt-common-name; brand-series,high,2
Orange African Daisy,Osteospermum 'Orange Symphony',cape daisy; sunscape daisy,alt-common-name; brand-series,high,2
Pink African Daisy,Osteospermum 'Serenity Pink',cape daisy; sunscape daisy,alt-common-name; brand-series,high,2
Red Pentas,Pentas lanceolata,egyptian star flower; star cluster,alt-common-name,high,2
White Pentas,Pentas lanceolata,egyptian star flower; star cluster,alt-common-name,high,2
Empress of India,Tropaeolum majus 'Empress of India',nasturium; nasturtion,misspelling,high,2
Patricia Ballard,Symphyotrichum novi-belgii 'Patricia Ballard',michaelmas daisy; new york aster,alt-common-name; regional,high,2
Professor Kippenberg,Symphyotrichum novi-belgii 'Professor Anton Kippenberg',michaelmas daisy; new york aster,alt-common-name; regional,high,2
Emerald Blue,Phlox subulata 'Emerald Blue',moss phlox; moss pink,alt-common-name,high,2
Anna's Red,Helleborus × hybridus 'Anna's Red',annas red; lenten rose,alt-common-name; plural-format,high,2
Onyx Odyssey,Helleborus × hybridus 'Onyx Odyssey',lenten rose; lenten roses,alt-common-name; plural-format,high,2
Penny's Pink,Helleborus × hybridus 'Penny's Pink',lenten rose; pennys pink,alt-common-name; plural-format,high,2
Russian Sage,Salvia yangii,perovskia; perovskia atriplicifolia,botanical-genus,high,2
Mesa Yellow,Gaillardia × grandiflora 'Mesa Yellow',gallardia; indian blanket,alt-common-name; misspelling,high,2
Marmalade,Heuchera 'Marmalade',alumroot; huechera,alt-common-name; misspelling,high,2
Obsidian,Heuchera 'Obsidian',alumroot; huechera,alt-common-name; misspelling,high,2
Palace Purple,Heuchera 'Palace Purple',alumroot; huechera,alt-common-name; misspelling,high,2
Royal Candles,Veronica spicata 'Royal Candles',speedwell; spike speedwell,alt-common-name,high,2
Grace,Cotinus 'Grace',grace smoke tree; smoke tree,alt-common-name; cultivar-trade,high,2
Velvet Cloak,Cotinus coggygria 'Velvet Cloak',purple smoke bush; purple smoke tree,alt-common-name,high,2
Wine & Roses,Weigela florida 'Wine & Roses',wine and roses; wine and roses weigela,brand-series; cultivar-trade; plural-format,high,2
Anthony Waterer,Spiraea japonica 'Anthony Waterer',anthony waterer spirea; japanese spirea,alt-common-name; cultivar-trade,high,2
Goldflame,Spiraea japonica 'Goldflame',goldflame spirea; japanese spirea,alt-common-name; cultivar-trade,high,2
Little Princess,Spiraea japonica 'Little Princess',japanese spirea; little princess spirea,alt-common-name; cultivar-trade,high,2
Magic Carpet,Spiraea japonica 'Magic Carpet',japanese spirea; magic carpet spirea,alt-common-name; cultivar-trade,high,2
Neon Flash,Spiraea japonica 'Neon Flash',japanese spirea; neon flash spirea,alt-common-name; cultivar-trade,high,2
Spirea,Spiraea,japanese spirea; spireas,alt-common-name; plural-format,high,2
Major Wheeler,Lonicera sempervirens 'Major Wheeler',coral honeysuckle; trumpet honeysuckle,alt-common-name,high,2
Scarlett O'Hara,Ipomoea nil,scarlet ohara; scarlett ohara,cultivar-trade; misspelling,high,2
Pink Jasmine,Jasminum polyanthum,chinese jasmine; jazmine,alt-common-name; misspelling,high,2
Easter Lily,Lilium longiflorum,lilies; lillies,misspelling; plural-format,high,2
Trumpet Lily,Lilium,lilies; lillies,misspelling; plural-format,high,2
Crocosmia,Crocosmia,crocosmea; montbretia,alt-common-name; misspelling; regional,high,2
Poppy Anemone,Anemone coronaria,anemonie; anenome,misspelling,high,2
White Agapanthus,Agapanthus 'Albus',african lily; lily of the nile,alt-common-name,high,2
Lady's Mantle,Alchemilla mollis,ladies mantle; ladys mantle,plural-format,high,2
Solomon's Seal,Polygonatum,solomon seal; solomons seal,plural-format,high,2
Rock Cress,Aubrieta,aubretia; rockcress,misspelling; plural-format; regional,high,2
Lady of Shalott,Rosa 'Ausnyson',david austin; lady of shalott rose,brand-series; plural-format,high,2
Olivia Rose Austin,Rosa 'Ausmixture',david austin; david austin roses,brand-series,high,2
Double Delight,Rosa 'Double Delight',double delight rose; hybrid tea roses,plural-format,high,2
New Dawn,Rosa 'New Dawn',new dawn climbing rose; new dawn rose,plural-format,high,2
Colorado Blue Spruce,Picea pungens,blue spruce tree; silver spruce,alt-common-name,high,2
Fat Albert,Picea pungens 'Fat Albert',fat albert blue spruce; fat albert spruce,cultivar-trade,high,2
Baby Blue,Picea pungens 'Baby Blue',baby blue eyes spruce; baby blue spruce,cultivar-trade,high,2
Bird's Nest Spruce,Picea abies 'Nidiformis',bird nest spruce; birds nest spruce,plural-format,high,2
Eastern Hemlock,Tsuga canadensis,canadian hemlock; eastern hemlock tree,alt-common-name,high,2
Fireglow,Acer palmatum 'Fireglow',fireglow japanese maple; red japanese maple,alt-common-name; cultivar-trade,high,2
Royal White Redbud,Cercis canadensis f. alba 'Royal White',red bud; redbud tree,misspelling; plural-format,high,2
Flowering Dogwood,Cornus florida,dogwood tree; white dogwood,alt-common-name; plural-format,high,2
Pink Dogwood,Cornus florida var. rubra,dogwood tree; pink flowering dogwood,alt-common-name; plural-format,high,2
Cherokee Brave,Cornus florida 'Cherokee Brave',cherokee brave dogwood; dogwood tree,cultivar-trade; plural-format,high,2
Sweetbay Magnolia,Magnolia virginiana,magnolia tree; sweet bay magnolia,plural-format,high,2
Royal Raindrops,Malus 'Royal Raindrops',crabapple tree; royal raindrops crabapple,cultivar-trade; plural-format,high,2
Snowdrift,Malus 'Snowdrift',crabapple tree; snowdrift crabapple,cultivar-trade; plural-format,high,2
Profusion,Callicarpa bodinieri 'Profusion',crabapple tree; profusion crabapple,cultivar-trade; plural-format,high,2
Red Jewel,Malus 'Red Jewel',crabapple tree; red jewel crabapple,cultivar-trade; plural-format,high,2
Indian Magic,Malus 'Indian Magic',crabapple tree; indian magic crabapple,cultivar-trade; plural-format,high,2
Sugar Tyme,Malus 'Sugar Tyme',crabapple tree; sugar tyme crabapple,cultivar-trade; plural-format,high,2
Adirondack,Malus 'Adirondack',adirondack crabapple; crabapple tree,cultivar-trade; plural-format,high,2
Purple Prince,Malus 'Purple Prince',crabapple tree; purple prince crabapple,cultivar-trade; plural-format,high,2
Golden Raindrops,Malus 'Golden Raindrops',crabapple tree; golden raindrops crabapple,cultivar-trade; plural-format,high,2
Akebono Cherry,Prunus × yedoensis 'Akebono',cherry blossom; cherry blossom tree,alt-common-name,high,2
Snow Fountains,Prunus 'Snofozam',snow fountains cherry; weeping cherry tree,cultivar-trade; plural-format,high,2
Cole's Select,Amelanchier × grandiflora 'Cole's Select',cole's select serviceberry; juneberry,alt-common-name; cultivar-trade,high,2
Purple Fountain Grass,Pennisetum setaceum 'Rubrum',penisetum; red fountain grass,alt-common-name; misspelling,high,2
Red Snapdragon,Antirrhinum 'Red',snap dragon; snap dragons,plural-format,high,2
Yellow Snapdragon,Antirrhinum 'Yellow',snap dragon; snap dragons,plural-format,high,2
Dutch Iris,Iris × hollandica,dutch iris bulbs; irises,plural-format,high,2
Bluestar,Amsonia,arkansas bluestar; blue star,alt-common-name; plural-format,high,2
Annabelle,Hydrangea arborescens 'Annabelle',hydrangeas; snowball hydrangea,alt-common-name; plural-format,high,2
Tulip,Tulipa,tulips; tullip,misspelling; plural-format,high,2
Boscobel,Rosa 'Auscousin',boscobel rose; david austin,brand-series; plural-format,high,2
Carding Mill,Rosa 'Auswest',carding mill rose; david austin,brand-series; plural-format,high,2
Charlotte,Rosa 'Auspoly',charlotte rose; david austin,brand-series; plural-format,high,2
Crown Princess Margareta,Rosa 'Auswinter',crown princess margareta rose; david austin,brand-series; plural-format,high,2
Darcey Bussell,Rosa 'Ausdecorum',darcey bussell rose; david austin,brand-series; plural-format,high,2
Gentle Hermione,Rosa 'Ausrumba',david austin; gentle hermione rose,brand-series; plural-format,high,2
Harlow Carr,Rosa 'Aushouse',david austin; harlow carr rose,brand-series; plural-format,high,2
James Galway,Rosa 'Auscrystal',david austin; james galway rose,brand-series; plural-format,high,2
Jubilee Celebration,Rosa 'Aushunter',david austin; jubilee celebration rose,brand-series; plural-format,high,2
Lady Emma Hamilton,Rosa 'Ausbrother',david austin; lady emma hamilton rose,brand-series; plural-format,high,2
Molineux,Rosa 'Ausmol',david austin; molineux rose,brand-series; plural-format,high,2
Princess Alexandra of Kent,Rosa 'Ausmerchant',david austin; princess alexandra of kent rose,brand-series; plural-format,high,2
Queen of Sweden,Rosa 'Austiger',david austin; queen of sweden rose,brand-series; plural-format,high,2
Roald Dahl,Rosa 'Ausowlish',david austin; roald dahl rose,brand-series; plural-format,high,2
Strawberry Hill,Rosa 'Ausrimini',david austin; strawberry hill rose,brand-series; plural-format,high,2
Susan Williams-Ellis,Rosa 'Ausquirk',david austin; susan williams-ellis rose,brand-series; plural-format,high,2
Teasing Georgia,Rosa 'Ausbaker',david austin; teasing georgia rose,brand-series; plural-format,high,2
The Lady Gardener,Rosa 'Ausbrass',david austin; the lady gardener rose,brand-series; plural-format,high,2
The Pilgrim,Rosa 'Auswalker',david austin; the pilgrim rose,brand-series; plural-format,high,2
Vanessa Bell,Rosa 'Auseasel',david austin; vanessa bell rose,brand-series; plural-format,high,2
Wollerton Old Hall,Rosa 'Ausblanket',david austin; wollerton old hall rose,brand-series; plural-format,high,2
Duchesse de Verneuil (Moss Rose),Rosa 'Duchesse de Verneuil',duchesse de verneuil rose; moss rose,alt-common-name; plural-format,high,2
Magenta Portulaca,Portulaca grandiflora,moss rose; moss roses,alt-common-name,high,2
White Portulaca,Portulaca grandiflora,moss rose; moss roses,alt-common-name,high,2
Blue Larkspur,Consolida ajacis,annual delphinium; larkspur,alt-common-name,high,2
Apricot Strawflower,Xerochrysum bracteatum,helichrysum,botanical-genus,high,1
Purple Strawflower,Xerochrysum bracteatum,helichrysum,botanical-genus,high,1
Blue Canterbury Bells,Campanula medium,bellflower,alt-common-name,high,1
Lavender Canterbury Bells,Campanula medium,bellflower,alt-common-name,high,1
Pink Canterbury Bells,Campanula medium,bellflower,alt-common-name,high,1
White Canterbury Bells,Campanula medium,bellflower,alt-common-name,high,1
Lady Baltimore,Hibiscus moscheutos 'Lady Baltimore',rose mallow,alt-common-name,high,1
Autumn Fire,Hylotelephium 'Autumn Fire',stonecrop,alt-common-name,high,1
Biokovo,Geranium × cantabrigiense 'Biokovo',cranesbill,alt-common-name,high,1
Brookside,Geranium 'Brookside',cranesbill,alt-common-name,high,1
Superbells Blue,Calibrachoa 'Superbells Blue',million bells,alt-common-name; brand-series,high,1
Superbells White,Calibrachoa 'Superbells White',million bells,alt-common-name; brand-series,high,1
Superbells Yellow,Calibrachoa 'Superbells Yellow',million bells,alt-common-name; brand-series,high,1
White Swan,Echinacea purpurea 'White Swan',echinacia,misspelling,high,1
Dark Eyes,Fuchsia 'Dark Eyes',fuschia,misspelling,high,1
Gartenmeister,Fuchsia 'Gartenmeister Bonstedt',fuschia,misspelling,high,1
Pink Marshmallow,Fuchsia 'Pink Marshmallow',fuschia,misspelling,high,1
Voodoo Fuchsia,Fuchsia 'Voodoo',fuschia,misspelling,high,1
French Lavender,Lavandula dentata,lavendar,misspelling,high,1
Spanish Lavender,Lavandula stoechas,lavendar,misspelling,high,1
Bronze Gazania,Gazania rigens,treasure flower,alt-common-name,high,1
Pink Gazania,Gazania rigens,treasure flower,alt-common-name,high,1
Red Gazania,Gazania rigens,treasure flower,alt-common-name,high,1
Tiger Stripe Gazania,Gazania 'New Day Tiger',treasure flower,alt-common-name,high,1
White Gazania,Gazania rigens,treasure flower,alt-common-name,high,1
Yellow Gazania,Gazania rigens,treasure flower,alt-common-name,high,1
Coral Geranium,Pelargonium 'Coral',zonal geranium,alt-common-name,high,1
Pink Geranium,Pelargonium 'Pink',zonal geranium,alt-common-name,high,1
Salmon Geranium,Pelargonium 'Salmon',zonal geranium,alt-common-name,high,1
White Geranium,Pelargonium 'White',zonal geranium,alt-common-name,high,1
Chidori Kale,Brassica oleracea 'Chidori',flowering kale,alt-common-name,high,1
Nagoya Red Kale,Brassica oleracea 'Nagoya Red',flowering kale,alt-common-name,high,1
Apricot Statice,Limonium sinuatum,sea lavender,alt-common-name,high,1
Blue Statice,Limonium sinuatum,sea lavender,alt-common-name,high,1
Pink Statice,Limonium sinuatum,sea lavender,alt-common-name,high,1
White Statice,Limonium sinuatum,sea lavender,alt-common-name,high,1
Yellow Statice,Limonium sinuatum,sea lavender,alt-common-name,high,1
Profusion Cherry,Zinnia 'Profusion Cherry',zahara zinnia,brand-series,high,1
Profusion White,Zinnia 'Profusion White',zahara zinnia,brand-series,high,1
Coral Zinnia,Zinnia elegans 'Coral',zinia,misspelling,high,1
Orange Zinnia,Zinnia elegans 'Orange',zinia,misspelling,high,1
Pink Zinnia,Zinnia elegans 'Pink',zinia,misspelling,high,1
White Zinnia,Zinnia elegans 'White',zinia,misspelling,high,1
Yellow Zinnia,Zinnia elegans 'Yellow',zinia,misspelling,high,1
Pink Ageratum,Ageratum houstonianum,floss flower,alt-common-name,high,1
Purple Ageratum,Ageratum houstonianum,floss flower,alt-common-name,high,1
White Ageratum,Ageratum houstonianum,floss flower,alt-common-name,high,1
Black Ball,Centaurea cyanus 'Black Ball',cornflower,alt-common-name,high,1
Red Boy,Centaurea cyanus 'Red Boy',cornflower,alt-common-name,high,1
Lavender Impatiens,Impatiens walleriana,busy lizzie,alt-common-name; regional,high,1
Salmon Impatiens,Impatiens walleriana,busy lizzie,alt-common-name; regional,high,1
Scarlet Impatiens,Impatiens walleriana,busy lizzie,alt-common-name; regional,high,1
Violet Impatiens,Impatiens walleriana,busy lizzie,alt-common-name; regional,high,1
Magenta Four O'Clock,Mirabilis jalapa,four oclock,plural-format,high,1
Red Four O'Clock,Mirabilis jalapa,four oclock,plural-format,high,1
White Four O'Clock,Mirabilis jalapa,four oclock,plural-format,high,1
Yellow Four O'Clock,Mirabilis jalapa,four oclock,plural-format,high,1
Cupani,Lathyrus odoratus 'Cupani',sweetpea,plural-format,high,1
Lavender Sweet Pea,Lathyrus odoratus,sweetpea,plural-format,high,1
Royal Blue Sweet Pea,Lathyrus odoratus,sweetpea,plural-format,high,1
Royal Crimson Sweet Pea,Lathyrus odoratus,sweetpea,plural-format,high,1
Royal White Sweet Pea,Lathyrus odoratus,sweetpea,plural-format,high,1
Angelface Raspberry,Angelonia 'Angelface Raspberry',summer snapdragon,alt-common-name,high,1
Serena White,Angelonia 'Serena White',summer snapdragon,alt-common-name,high,1
Pearly Gates,Ipomoea tricolor 'Pearly Gates',heavenly blue morning glory,cultivar-trade,high,1
Lemon African Daisy,Osteospermum 'Lemon Symphony',cape daisy,alt-common-name,high,1
White African Daisy,Osteospermum 'Akila White',cape daisy,alt-common-name,high,1
Lavender Pentas,Pentas lanceolata,egyptian star flower,alt-common-name,high,1
Raspberry Pentas,Pentas lanceolata,egyptian star flower,alt-common-name,high,1
Violet Pentas,Pentas lanceolata,egyptian star flower,alt-common-name,high,1
Mahogany Nasturtium,Tropaeolum majus 'Mahogany',nasturtion,misspelling,high,1
Peach Melba,Tropaeolum majus 'Peach Melba',nasturtion,misspelling,high,1
Salmon Nasturtium,Tropaeolum majus,nasturtion,misspelling,high,1
Aloe,Aloe,aloe vera,alt-common-name,high,1
Purple Beauty,Phlox subulata 'Purple Beauty',moss phlox,alt-common-name,high,1
Red Wings,Phlox subulata 'Red Wings',moss phlox,alt-common-name,high,1
Scarlet Flame,Phlox subulata 'Scarlet Flame',moss phlox,alt-common-name,high,1
Christmas Rose,Helleborus niger,lenten rose,alt-common-name,high,1
Golden Lotus,Helleborus × hybridus 'Golden Lotus',lenten rose,alt-common-name,high,1
Wedding Party,Helleborus × hybridus 'Wedding Party',lenten rose,alt-common-name,high,1
Blue Marvel,Salvia nemorosa 'Blue Marvel',meadow sage,alt-common-name,high,1
East Friesland,Salvia nemorosa 'Ostfriesland',meadow sage,alt-common-name,high,1
Plum Pudding,Heuchera 'Plum Pudding',huechera,misspelling,high,1
First Love,Veronica spicata 'First Love',speedwell,alt-common-name,high,1
Sunny Border Blue,Veronica 'Sunny Border Blue',speedwell,alt-common-name,high,1
Bloomerang Purple,Syringa 'Bloomerang Purple',bloomerang lilac,brand-series,high,1
Grandpa Ott's,Ipomoea purpurea,grandpa otts,cultivar-trade,high,1
Winter Jasmine,Jasminum nudiflorum,jazmine,misspelling,high,1
Crocus,Crocus,crocuses,plural-format,high,1
Grape Hyacinth,Muscari,grape hyacinths,plural-format,high,1
Snowdrop,Galanthus,snowdrops,plural-format,high,1
Giant Snowdrop,Galanthus elwesii,snowdrops,plural-format,high,1
Emily McKenzie,Crocosmia 'Emily McKenzie',montbretia,alt-common-name; regional,high,1
George Davison,Crocosmia 'George Davison',montbretia,alt-common-name; regional,high,1
Solfatare,Crocosmia × crocosmiiflora 'Solfatare',montbretia,alt-common-name; regional,high,1
Peter Pan,Agapanthus 'Peter Pan',lily of the nile,alt-common-name,high,1
White Freesia,Freesia 'White',fresia,misspelling,high,1
Pink Freesia,Freesia 'Pink',fresia,misspelling,high,1
Apple Blossom,Hippeastrum 'Apple Blossom',amarylis,misspelling,high,1
Red Lion,Hippeastrum 'Red Lion',amarylis,misspelling,high,1
Star Magnolia,Magnolia stellata,magnolia tree,plural-format,high,1
Okame Cherry,Prunus 'Okame',cherry tree,plural-format,high,1
Royal Velvet,Lavandula angustifolia 'Royal Velvet',english lavender,alt-common-name,high,1
Nana Alba,Lavandula angustifolia 'Nana Alba',english lavender,alt-common-name,high,1
Hidcote Pink,Lavandula angustifolia 'Hidcote Pink',english lavender,alt-common-name,high,1
White Limelight Hydrangea,Hydrangea paniculata 'Limelight',little lime,brand-series,high,1
Bronze Mum,Chrysanthemum 'Bronze',mums,plural-format,high,1
Pink Mum,Chrysanthemum 'Pink',mums,plural-format,high,1
Purple Petunia,Petunia 'Purple',petunias,plural-format,high,1
Coral Snapdragon,Antirrhinum 'Coral',snap dragon,plural-format,high,1
Orange Snapdragon,Antirrhinum 'Orange',snap dragon,plural-format,high,1
White Snapdragon,Antirrhinum 'White',snap dragon,plural-format,high,1
New Guinea Orange,Impatiens hawkeri,new guinea impatiens,alt-common-name,high,1
New Guinea Red,Impatiens hawkeri,new guinea impatiens,alt-common-name,high,1
Cherry Queen,Cleome hassleriana 'Cherry Queen',spider flower,alt-common-name,high,1
Rose Queen,Cleome hassleriana 'Rose Queen',spider flower,alt-common-name,high,1
Violet Queen,Cleome hassleriana 'Violet Queen',spider flower,alt-common-name,high,1
White Queen,Cleome hassleriana 'White Queen',spider flower,alt-common-name,high,1
Siberian Iris,Iris sibirica,irises,plural-format,high,1
Queen of Night,Tulipa 'Queen of Night',black tulip,alt-common-name,high,1
Snow-in-Summer,Cerastium tomentosum,snow in summer,plural-format,high,1
Bathsheba Rose,Rosa 'Auschimbley',david austin,brand-series,high,1
Patience Rose,Rosa 'Patience',david austin,brand-series,high,1
Shropshire Lad Rose,Rosa 'Shropshire Lad',david austin,brand-series,high,1
PowWow Wild Berry,Echinacea 'PowWow Wild Berry',pow wow,brand-series,high,1
Rosa damascena (Damask Rose),Rosa damascena,antique roses; attar rose; bulgarian rose; damascus rose; damask roses; heritage roses; oil rose; old fashioned roses; rose of castile,alt-common-name; misspelling; plural-format,med,9
Coleus,Coleus scutellarioides,coleous; colius; flame nettle; kong coleus; painted nettle; solenostemon; wizard coleus,alt-common-name; botanical-genus; brand-series; misspelling,med,7
Columbine,Aquilegia,aquilega; colombine; columbein; columbines; columbyne; granny's bonnet; grannys bonnet,alt-common-name; misspelling; plural-format; regional,med,7
Forsythia,Forsythia,forcythia; forsithia; forsynthia; forsythia bush; forsythias; golden bell; golden bells,alt-common-name; misspelling; plural-format,med,7
Waterfall,Acer palmatum var. dissectum 'Waterfall',cutleaf japanese maple; dwarf japanese maple; lace leaf maple; laceleaf maple; threadleaf maple; waterfall japanese maple; weeping japanese maple,alt-common-name; cultivar-trade; plural-format,med,7
Rosa 'Madame Hardy',Rosa 'Madame Hardy',antique roses; damask roses; heritage roses; madame hardy rose; mme hardy; old fashioned roses,alt-common-name; misspelling; plural-format,med,6
Rosa 'Trigintipetala',Rosa damascena 'Trigintipetala',attar rose; bulgarian rose; damask roses; kazanlik; kazanlik rose; oil rose,alt-common-name; plural-format,med,6
Viridis,Acer palmatum var. dissectum 'Viridis',cutleaf japanese maple; lace leaf maple; laceleaf maple; threadleaf maple; viridis japanese maple; weeping japanese maple,alt-common-name; cultivar-trade; plural-format,med,6
Maiden Grass,Miscanthus sinensis,chinese silver grass; eulalia grass; japanese silver grass; miscanthis; porcupine grass; silver grass,alt-common-name; cultivar-trade; misspelling,med,6
Sage,Salvia officinalis,common sage; culinary sage; garden sage; kitchen sage; sage; sage plant,alt-common-name; plural-format,med,6
Oregano,Origanum,greek oregano; italian oregano; marjoram; oragano; oregano plant; oregeno,alt-common-name; misspelling; plural-format,med,6
Basil,Ocimum basilicum,basel; basil plant; bazil; genovese basil; sweet basil; thai basil,alt-common-name; cultivar-trade; misspelling; plural-format,med,6
Caladium,Caladium,angel wings; angel wings caladium; elephant ear caladium; fancy leaf caladium; heart of jesus,alt-common-name,med,5
Fountain Grass,Pennisetum alopecuroides,cenchrus; chinese fountain grass; foxtail grass; penisetum; swamp foxtail grass,alt-common-name; botanical-genus; misspelling,med,5
California Poppy,Eschscholzia,cal poppy; cali poppy; californian poppy; escholzia; golden poppy,alt-common-name; misspelling; regional,med,5
Stock,Matthiola,brompton stock; gillyflower; night scented stock; stocks; ten week stock,alt-common-name; plural-format,med,5
Potentilla,Potentilla fruticosa,bush cinquefoil; cinquefoil; potentilla bush; potentillas; shrubby cinquefoil,alt-common-name; plural-format,med,5
